id,name,party,sector,country
uvdl,Ursula von der Leyen,cdu,politik,de
lk,Lars Klingbeil,spd,politik,de
nr,Norbert Röttgen,cdu,politik,de
sw,Sahra Wagenknecht,linke,politik,de
cs,Constanze Stelzenmüller,,wissenschaft,de
cl,Christian Lindner,fdp,politik,de
ks,Karl Schlögel,,,de
lm,Ljudmyla Melnyk,,10,ukr
kd,Kristina Dunz,,,de
el,Egils Levits,,politik,lva
ab,Annalena Baerbock,grüne,politik,de
ft,Frans Timmermans,,politik,ne
am,Andrij Melnyk,,politik,ukr
agl,Alexander Graf Lambsdorff,fdp,politik,de
er,Egon Ramms,,,de
rh,Robert Habeck,grüne,politik,de
cm,Claudia Major,,,de
kp,Katja Petrowskaja,,wissenschaft,ukr
rk,Roderich Kiesewetter,cdu,politik,de
500,Folge 500,,,
501,Folge 501,,,
502,Folge 502,,,
503,Folge 503,,,
spd,SPD,,,
cdu,CDU,,,
grüne,DIE GRÜNEN,,,
linke,DIE LINKE,,,
fdp,FDP,,,